name	x	y	z	type	material
FP2	0.101412	0.042578	0.131065	EasyCap	Ag/AgCl
FP1	0.151292	0.041441	0.130196	EasyCap	Ag/AgCl
F8	0.072204	0.070328	0.131346	EasyCap	Ag/AgCl
F4	0.092561	0.062527	0.156750	EasyCap	Ag/AgCl
Fz	0.127605	0.053614	0.166368	EasyCap	Ag/AgCl
F3	0.167149	0.067805	0.154810	EasyCap	Ag/AgCl
F7	0.184628	0.070138	0.129700	EasyCap	Ag/AgCl
FC6	0.070805	0.090619	0.151198	EasyCap	Ag/AgCl
FC2	0.102617	0.088382	0.179815	EasyCap	Ag/AgCl
FC1	0.153259	0.090816	0.177953	EasyCap	Ag/AgCl
FC5	0.184426	0.091658	0.149607	EasyCap	Ag/AgCl
T8	0.048835	0.125922	0.122920	EasyCap	Ag/AgCl
C4	0.074019	0.125950	0.169412	EasyCap	Ag/AgCl
CZ	0.125712	0.126015	0.190618	EasyCap	Ag/AgCl
C3	0.178643	0.126343	0.169205	EasyCap	Ag/AgCl
T7	0.202036	0.127006	0.132310	EasyCap	Ag/AgCl
TP10	0.051562	0.161578	0.093972	EasyCap	Ag/AgCl
CP6	0.061816	0.155658	0.152531	EasyCap	Ag/AgCl
CP2	0.092385	0.163433	0.181028	EasyCap	Ag/AgCl
CP1	0.164329	0.165419	0.177857	EasyCap	Ag/AgCl
CP5	0.191738	0.157512	0.150624	EasyCap	Ag/AgCl
TP9	0.199505	0.162722	0.093679	EasyCap	Ag/AgCl
P4	0.077253	0.185251	0.156537	EasyCap	Ag/AgCl
Pz	0.126285	0.198345	0.166404	EasyCap	Ag/AgCl
P3	0.179480	0.184037	0.155066	EasyCap	Ag/AgCl
P8	0.056988	0.169492	0.131095	EasyCap	Ag/AgCl
PO4	0.098454	0.213609	0.131306	EasyCap	Ag/AgCl
PO3	0.153472	0.213956	0.131209	EasyCap	Ag/AgCl
P7	0.198140	0.163776	0.129244	EasyCap	Ag/AgCl
I2/O10	0.098454	0.218000	0.093539	EasyCap	Ag/AgCl
I1/O9	0.153472	0.218000	0.093554	EasyCap	Ag/AgCl
Oz	0.126000	0.223000	0.112000	EasyCap	Ag/AgCl
NFpz	0.126352	0.042010	0.120000	EasyCap	Ag/AgCl
